0,/m/09x0r,Speech,HV
1,/m/05zppz,"Male speech, man speaking",HV
2,/m/02zsn,"Female speech, woman speaking",HV
3,/m/0ytgt,"Child speech, kid speaking",HV
4,/m/01h8n0,Conversation,HV
5,/m/02qldy,"Narration, monologue",HV
6,/m/0261r1,Babbling,HV
7,/m/0brhx,Speech synthesizer,HV
8,/m/07p6fty,Shout,HV
9,/m/07q4ntr,Bellow,HV
10,/m/07rwj3x,Whoop,HV
11,/m/07sr1lc,Yell,HV
12,/m/04gy_2,Battle cry,HV
13,/t/dd00135,Children shouting,HV
14,/m/03qc9zr,Screaming,HV
15,/m/02rtxlg,Whispering,HV
16,/m/01j3sz,Laughter,HV
17,/t/dd00001,Baby laughter,HV
18,/m/07r660_,Giggle,HV
19,/m/07s04w4,Snicker,HV
20,/m/07sq110,Belly laugh,HV
21,/m/07rgt08,"Chuckle, chortle",HV
22,/m/0463cq4,"Crying, sobbing",HV
23,/t/dd00002,"Baby cry, infant cry",HV
24,/m/07qz6j3,Whimper,HV
25,/m/07qw_06,"Wail, moan",HV
26,/m/07plz5l,Sigh,HNV
27,/m/015lz1,Singing,HV
28,/m/0l14jd,Choir,HV
29,/m/01swy6,Yodeling,HV
30,/m/02bk07,Chant,HV
31,/m/01c194,Mantra,HV
32,/t/dd00003,Male singing,HV
33,/t/dd00004,Female singing,HV
34,/t/dd00005,Child singing,HV
35,/t/dd00006,Synthetic singing,HV
36,/m/06bxc,Rapping,HV
37,/m/02fxyj,Humming,HV
38,/m/07s2xch,Groan,HV
39,/m/07r4k75,Grunt,HV
40,/m/01w250,Whistling,HNV
41,/m/0lyf6,Breathing,HNV
42,/m/07mzm6,Wheeze,HNV
43,/m/01d3sd,Snoring,HNV
44,/m/07s0dtb,Gasp,HNV
45,/m/07pyy8b,Pant,HNV
46,/m/07q0yl5,Snort,HNV
47,/m/01b_21,Cough,HNV
48,/m/0dl9sf8,Throat clearing,HNV
49,/m/01hsr_,Sneeze,HNV
50,/m/07ppn3j,Sniff,HNV
51,/m/06h7j,Run,HNV
52,/m/07qv_x_,Shuffle,HNV
53,/m/07pbtc8,"Walk, footsteps",HNV
54,/m/03cczk,"Chewing, mastication",HNV
55,/m/07pdhp0,Biting,HNV
56,/m/0939n_,Gargling,HNV
57,/m/01g90h,Stomach rumble,HNV
58,/m/03q5_w,"Burping, eructation",HNV
59,/m/02p3nc,Hiccup,HNV
60,/m/02_nn,Fart,HNV
61,/m/0k65p,Hands,HNV
62,/m/025_jnm,Finger snapping,HNV
63,/m/0l15bq,Clapping,HNV
64,/m/01jg02,"Heart sounds, heartbeat",HNV
65,/m/01jg1z,Heart murmur,HNV
66,/m/053hz1,Cheering,HNV
67,/m/028ght,Applause,HNV
68,/m/07rkbfh,Chatter,HNV
69,/m/03qtwd,Crowd,HNV
70,/m/07qfr4h,"Hubbub, speech noise, speech babble",HV
71,/t/dd00013,Children playing,HV
72,/m/0jbk,Animal,NH
73,/m/068hy,"Domestic animals, pets",NH
74,/m/0bt9lr,Dog,NH
75,/m/05tny_,Bark,NH
76,/m/07r_k2n,Yip,NH
77,/m/07qf0zm,Howl,NH
78,/m/07rc7d9,Bow-wow,NH
79,/m/0ghcn6,Growling,NH
80,/t/dd00136,Whimper (dog),NH
81,/m/01yrx,Cat,NH
82,/m/02yds9,Purr,NH
83,/m/07qrkrw,Meow,NH
84,/m/07rjwbb,Hiss,NH
85,/m/07r81j2,Caterwaul,NH
86,/m/0ch8v,"Livestock, farm animals, working animals",NH
87,/m/03k3r,Horse,NH
88,/m/07rv9rh,Clip-clop,NH
89,/m/07q5rw0,"Neigh, whinny",NH
90,/m/01xq0k1,"Cattle, bovinae",NH
91,/m/07rpkh9,Moo,NH
92,/m/0239kh,Cowbell,NH
93,/m/068zj,Pig,NH
94,/t/dd00018,Oink,NH
95,/m/03fwl,Goat,NH
96,/m/07q0h5t,Bleat,NH
97,/m/07bgp,Sheep,NH
98,/m/025rv6n,Fowl,NH
99,/m/09b5t,"Chicken, rooster",NH
100,/m/07st89h,Cluck,NH
101,/m/07qn5dc,"Crowing, cock-a-doodle-doo",NH
102,/m/01rd7k,Turkey,NH
103,/m/07svc2k,Gobble,NH
104,/m/09ddx,Duck,NH
105,/m/07qdb04,Quack,NH
106,/m/0dbvp,Goose,NH
107,/m/07qwf61,Honk,NH
108,/m/01280g,Wild animals,NH
109,/m/0cdnk,"Roaring cats (lions, tigers)",NH
110,/m/04cvmfc,Roar,NH
111,/m/015p6,Bird,NH
112,/m/020bb7,"Bird vocalization, bird call, bird song",NH
113,/m/07pggtn,"Chirp, tweet",NH
